Point1,Point2,ActualCost
C,B,1.4436009
A,C,8.2006644
B,C,27.583919599999998
B,A,27.389071
C,A,1.4031059
A,B,2.9592074
C,B,1.3455212
A,C,4.0604142
B,C,28.2797237
B,A,27.444060200000003
C,A,1.4043016000000001
A,B,2.7236627
C,B,1.3495595
A,C,8.305414
B,C,27.051579
B,A,27.758816
C,A,1.4036598999999998
A,B,3.1724222
C,B,1.3441839
A,C,6.7655848
B,C,27.789887300000004
B,A,26.824676699999998
C,A,1.4250832
A,B,3.4409501
C,B,1.477627
A,C,6.7645509
B,C,27.5733492
B,A,27.4934442
C,A,1.3450151
A,B,3.1677339
C,B,1.3474782
A,C,6.7500446
B,C,27.4577457
B,A,26.748762699999997
C,A,1.4228208999999998
A,B,2.7776083
C,B,1.4022845
A,C,19.0406961
B,C,31.490573
B,A,27.6762661
C,A,1.3339361
A,B,3.0866422000000004
C,B,1.4091095
A,C,3.9843453
B,C,27.582805699999998
B,A,26.843332300000004
C,A,1.3464465
A,B,3.3759285000000006
C,B,1.4061005
A,C,6.8166972
B,C,27.7296179
B,A,27.042700699999997
C,A,1.4085568000000002
A,B,3.6006907
C,B,1.4114365
A,C,9.1000177
B,C,27.113429999999997
B,A,27.3632196
C,A,1.3910668
A,B,2.7620955
C,B,1.4216057
A,C,5.9776499
B,C,27.5771988
B,A,27.9734522
C,A,1.3526705
A,B,2.8424218
C,B,1.3481353
A,C,5.4244462
B,C,27.9188081
B,A,26.8148638
C,A,1.411408
A,B,2.9541788
C,B,1.4207228
A,C,5.637363099999999
B,C,27.9491158
B,A,28.0601738
C,A,1.3596516
A,B,3.4401629999999996
C,B,1.3503978
A,C,4.385812400000001
B,C,28.2701202
B,A,27.1799642
C,A,1.4760528999999998
A,B,3.4981033
C,B,1.3463359
A,C,5.5056154
B,C,27.5031648
B,A,27.4304215
C,A,1.4055067
A,B,2.9120142999999996
C,B,1.4259346000000002
A,C,4.1694005
B,C,27.9707142
B,A,26.764519899999996
C,A,1.409914
A,B,2.6503457000000004
C,B,1.3453146999999999
A,C,6.8438171
B,C,26.9897862
B,A,27.7932106
C,A,1.3565901000000002
A,B,3.3755974
C,B,1.3504261999999998
