Point1,Point2,Heuristics
C,B,0.1639204
A,C,10.1215509
B,C,3.1196661
B,A,3.0976293
C,A,0.157433
A,B,1.52735
C,B,0.1546391
A,C,6.780274499999999
B,C,5.4242451
B,A,3.141395
C,A,0.1575672
A,B,1.5463548999999999
C,B,0.15765639999999997
A,C,8.7321941
B,C,3.1864084
B,A,3.0781291
C,A,0.1532549
A,B,1.5263876
C,B,0.1544855
A,C,6.8591954
B,C,3.118115
B,A,3.0337978
C,A,0.1598989
A,B,1.526245
C,B,0.1613308
A,C,6.1944555
B,C,3.1184706
B,A,3.1986387
C,A,0.154581
A,B,1.5241319
C,B,0.1530057
A,C,8.7098329
B,C,3.0808476
B,A,3.0252122000000004
C,A,0.1596451
A,B,1.5460612
C,B,0.1573408
A,C,33.7822599
B,C,6.477797
B,A,3.1176892000000005
C,A,0.15583129999999998
A,B,1.5646749
C,B,0.1600039
A,C,10.282297
B,C,3.170059
B,A,3.0238605
C,A,0.1528885
A,B,1.5457078
C,B,0.1616015
A,C,6.9110149000000005
B,C,3.1113525
B,A,3.0584557
C,A,0.1555848
A,B,1.5255866000000002
C,B,0.1559029
A,C,9.9356148
B,C,3.0422142999999995
B,A,3.1070843999999997
C,A,0.15795520000000002
A,B,1.5681751
C,B,0.1570261
A,C,7.7131833
B,C,3.0460911
B,A,4.8420367
C,A,0.1580198
A,B,1.5517117
C,B,0.15493959999999998
A,C,4.967290599999999
B,C,3.1575411
B,A,3.032688
C,A,0.1558997
A,B,1.5247546
C,B,0.1527676
A,C,4.445282499999999
B,C,3.1609688
B,A,3.0755051
C,A,0.1562631
A,B,1.5258958999999999
C,B,0.1533372
A,C,4.9800752
B,C,3.1595105
B,A,3.1364591
C,A,0.1636771
A,B,1.5277247999999999
C,B,0.1547328
A,C,4.884068599999999
B,C,3.0737944
B,A,3.2176809
C,A,0.1577024
A,B,1.5308252
C,B,0.1599945
A,C,4.2270895
B,C,3.0895576
B,A,3.0269942
C,A,0.15573470000000003
A,B,1.5674264
C,B,0.1546154
A,C,6.4759427
B,C,3.0403583
B,A,3.1184879
C,A,0.1540404
A,B,1.5455563
C,B,0.1552029
A,C,5.0203776
B,C,3.0237647
B,A,3.0271318
C,A,0.15554720000000002
A,B,1.5261040000000001
C,B,0.1547599
A,C,7.160984
B,C,3.203437
B,A,3.1599562000000003
C,A,0.15337979999999998
A,B,1.5245618
C,B,0.1533261
A,C,7.0537177
B,C,3.0450382
B,A,3.0719075
C,A,0.1598714
A,B,1.5281136
C,B,0.160752
A,C,4.9302179
B,C,3.1207426
B,A,3.0312454
C,A,0.15599920000000003
A,B,1.5248071
C,B,0.1580618
A,C,5.1823419
B,C,3.109371
B,A,3.1582357999999995
C,A,0.1573425
A,B,1.5246848999999998
C,B,0.15310729999999997
A,C,4.4725317
B,C,3.1859801
B,A,3.194954
C,A,0.15476779999999998
A,B,1.5484726999999998
C,B,0.1551015
A,C,5.4097116
B,C,3.0332818
B,A,3.0741715
C,A,0.1532427
A,B,1.5470452
C,B,0.1582716
A,C,5.861546400000001
B,C,3.0923726
B,A,3.1209651
C,A,0.156205
A,B,1.5478666
C,B,0.15724720000000003
A,C,4.5383968
B,C,3.1374144
B,A,3.0278721
C,A,0.1550971
A,B,1.5267237
C,B,0.1556681
A,C,4.2001428
B,C,3.1226737
B,A,3.0309699
C,A,0.1558829
A,B,1.546824
C,B,0.1594872
A,C,3.8552188999999997
B,C,3.1201904
B,A,3.0375476000000003
C,A,0.1567878
A,B,1.5267399
C,B,0.15553689999999998
A,C,3.833868
B,C,3.1003646000000002
B,A,3.0393755
C,A,0.1600054
A,B,1.5462411
C,B,0.1558277
A,C,5.0645755999999995
B,C,3.0962207000000004
B,A,3.1696068
C,A,0.15241949999999999
A,B,1.5466628999999998
C,B,0.1575569
A,C,4.582033099999999
B,C,3.2146342999999997
B,A,3.2507964
C,A,0.1542833
A,B,1.5573045
C,B,0.15578050000000002
A,C,5.0591678
B,C,3.0795084999999998
B,A,3.0730946
C,A,0.1537615
A,B,1.5455401000000002
C,B,0.15959849999999998
A,C,4.9534861
B,C,3.1994646
B,A,3.0377527
C,A,0.1562419
A,B,1.5251299999999999
C,B,0.1589749
A,C,5.3863252
B,C,3.1779535
B,A,3.1885608
C,A,0.1559161
A,B,1.5466402
C,B,0.15231489999999998
A,C,14.245814999999999
B,C,3.0599712
B,A,3.1285145
C,A,0.1622181
A,B,1.5492531
C,B,0.1574754
A,C,6.8372984
B,C,3.1267817
B,A,3.127593
C,A,0.1566453
A,B,1.546841
C,B,0.1613667
A,C,7.7269214999999996
B,C,3.1236200000000003
B,A,3.0379669
C,A,0.1595464
A,B,1.5487429
C,B,0.157669
A,C,7.511745299999999
B,C,3.0323575000000003
B,A,3.0645583
C,A,0.15596329999999997
A,B,1.5250111000000002
C,B,0.1529249
A,C,9.1667832
B,C,3.0275101
B,A,3.0735683
C,A,0.1563032
A,B,1.5515805
C,B,0.15467550000000002
A,C,9.1734377
B,C,3.0741112
B,A,3.1153969
C,A,0.15696749999999998
A,B,1.5667203
C,B,0.1574905
A,C,7.7640630999999996
B,C,3.1107418
B,A,3.0752013
C,A,0.1559045
A,B,1.5310049
C,B,0.1531252
A,C,13.3087793
B,C,3.1628506
B,A,3.1806672
C,A,0.1562927
A,B,1.5264311000000002
C,B,0.1544487
A,C,21.480276
B,C,3.1022178
B,A,3.1166088
C,A,0.1579046
A,B,1.5464171
C,B,0.15578050000000002
A,C,9.9711318
B,C,3.2400207
B,A,3.1696679
C,A,0.157627
A,B,1.5682826
C,B,0.15398620000000002
A,C,11.2771546
B,C,3.1396622000000005
B,A,3.2814181000000002
C,A,0.15760770000000002
A,B,1.547095
C,B,0.1542797
A,C,14.4720397
B,C,3.1441907000000002
B,A,3.1160797
C,A,0.15776120000000002
A,B,1.5661877
C,B,0.1544344
A,C,17.3660426
B,C,3.0834964
B,A,3.0338136
C,A,0.156184
A,B,1.5247021
C,B,0.15175439999999998
A,C,19.4309057
B,C,3.0870436
B,A,3.0365791
C,A,0.1559131
A,B,1.5262333000000001
C,B,0.15159289999999997
A,C,13.801106200000001
B,C,3.108578
B,A,3.0322607
C,A,0.1552755
A,B,1.5668066
C,B,0.1540987
A,C,11.1130272
B,C,3.047735
B,A,3.0345944
C,A,0.1525247
A,B,1.5256678999999997
C,B,0.1563421
A,C,12.322158
B,C,3.0566361
B,A,4.0800379
C,A,0.157373
A,B,1.5516477
C,B,0.15459610000000001
A,C,7.981727900000001
B,C,3.1151145
B,A,3.0465007
C,A,0.15652220000000003
A,B,1.5268209
C,B,0.15263239999999997
A,C,4.8637068
B,C,3.1519712
B,A,3.1110261
C,A,0.1570211
A,B,1.5474284
C,B,0.153949
A,C,5.3224005
B,C,3.1070059
B,A,3.1138594
C,A,0.1578296
A,B,1.5684356000000002
C,B,0.1556352
A,C,4.5859917999999995
B,C,3.239474
B,A,3.1675079
C,A,0.15775029999999998
A,B,1.5276545
C,B,0.1558086
A,C,5.5981258
B,C,3.1605472
B,A,3.0866163
C,A,0.15604229999999997
A,B,1.5448017
C,B,0.1562791
A,C,5.4527318
B,C,3.0573959
B,A,3.0823484
C,A,0.1642267
A,B,1.5492571000000002
C,B,0.1591582
A,C,4.7002903
B,C,3.0315322
B,A,3.1312718
C,A,0.1564097
A,B,1.5459722
C,B,0.1555466
A,C,4.4861808
B,C,3.0673278
B,A,3.0295859
C,A,0.1565285
A,B,1.5651606
C,B,0.1526618
A,C,5.3783845
B,C,3.2054635
B,A,3.0700465
C,A,0.1527376
A,B,1.5456801000000002
C,B,0.1528138
A,C,4.4551117
B,C,3.1233668
B,A,3.0740383999999996
C,A,0.1567232
A,B,1.5411957
C,B,0.1561355
A,C,4.3064819000000005
B,C,3.2306565
B,A,3.1319317000000004
C,A,0.1624375
A,B,1.5697067
C,B,0.1575262
A,C,4.297529
B,C,3.4308796
B,A,3.0953162
C,A,0.1572144
A,B,1.5461424
C,B,0.1576195
A,C,4.1292496
B,C,3.1184759
B,A,3.0237662
C,A,0.15604920000000003
A,B,1.5290878
C,B,0.1527321
A,C,6.4231796
B,C,3.1054054
B,A,3.0266792999999996
C,A,0.1549998
A,B,1.5470033
C,B,0.1570855
A,C,7.4158561
B,C,3.2030246
B,A,3.1421072999999997
C,A,0.1573566
A,B,1.5673827
C,B,0.1573914
A,C,7.8187813
B,C,4.573339900000001
B,A,3.0276621
C,A,0.1527821
A,B,1.5262209
C,B,0.1526366
A,C,12.4753258
B,C,3.0358176
B,A,3.0860708999999997
C,A,0.1554949
A,B,1.5471226999999999
C,B,0.1544848
A,C,9.0319762
B,C,3.1359981
B,A,3.0538426
C,A,0.15348820000000002
A,B,1.5454126
C,B,0.1527346
A,C,20.2774858
B,C,3.1477843
B,A,3.2119419999999996
C,A,0.1569132
A,B,1.5264151000000001
C,B,0.15614029999999998
A,C,11.3657985
B,C,3.1311093
B,A,3.0286812000000003
C,A,0.1559879
A,B,1.5268184
C,B,0.1554949
A,C,13.4688044
B,C,3.1194291
B,A,3.1416702
C,A,0.1530895
A,B,1.5663814
C,B,0.16033229999999998
A,C,6.1268356
B,C,3.1336411
B,A,3.2709897
