Point1,Point2,PredictedCost
C,B,1.0467454999999999
A,C,6.0786046
B,C,27.186166999999998
B,A,26.769023999999998
C,A,0.7658817
A,B,2.8393611
C,B,0.9759969999999999
A,C,6.110108
B,C,27.157778000000004
B,A,26.750177
C,A,0.76407045
A,B,2.8297868
C,B,0.9697169
A,C,6.092315
B,C,27.146404999999998
B,A,26.752222
C,A,0.7850050999999999
A,B,2.8388157000000005
C,B,0.9983905000000001
A,C,6.0968447
B,C,27.163607
B,A,26.774138
C,A,0.73439777
A,B,2.844851
C,B,0.9774312
A,C,6.0968988
B,C,27.028596000000004
B,A,26.775822
C,A,0.7810831
A,B,2.8553233
C,B,0.9722687
A,C,6.094741
B,C,27.097
B,A,26.841387
C,A,0.704851
A,B,2.8432697
C,B,0.925184
A,C,6.0976550000000005
B,C,27.242285
B,A,26.790276
C,A,0.7886029999999999
A,B,2.8639528999999997
C,B,0.9664945
A,C,6.0673974
B,C,27.25255
B,A,26.781613
C,A,0.7400185
A,B,2.8595857
C,B,0.9962849
A,C,6.111753
B,C,27.17933
B,A,26.804346
C,A,0.7514484
A,B,2.8687584999999998
C,B,1.0887623
A,C,6.108437
B,C,27.089506
B,A,26.819658
C,A,0.76429695
A,B,2.8716397
C,B,0.9795494
A,C,6.104063
B,C,27.123833
B,A,26.845893
C,A,0.8654930000000001
A,B,2.826564
C,B,0.9750627000000001
A,C,6.1055712
B,C,27.090448
B,A,26.864058
C,A,0.70419684
A,B,2.8585773
C,B,0.9592153
A,C,6.1070364
B,C,27.072632
B,A,26.860052000000003
C,A,0.78067183
A,B,2.8686129
C,B,1.0174409
A,C,6.1053394999999995
B,C,27.118304
B,A,26.862586
C,A,0.72920322
A,B,2.8633248
C,B,0.9900302
A,C,6.113459
B,C,27.09466
B,A,26.860923
C,A,0.74741244
A,B,2.8881863
C,B,1.0680661
A,C,6.117183
B,C,27.11817
B,A,26.885313
C,A,0.69317594
A,B,2.8629791
C,B,0.9682395
A,C,6.121032
B,C,27.115107000000002
B,A,26.882294
C,A,0.7527955
A,B,2.9307939999999997
C,B,0.9481043
A,C,6.129643
B,C,27.08791
B,A,26.88997
C,A,0.70124045
A,B,2.8693877
C,B,0.9762436
A,C,6.1265875
B,C,27.121055
B,A,26.89333
C,A,0.7122822
A,B,2.8677776
C,B,1.0189399
A,C,6.130907
B,C,27.127504
B,A,26.909602000000003
C,A,0.72390735
A,B,2.8644416
C,B,0.9848684000000001
A,C,6.1397236
B,C,27.135575
B,A,26.810323999999998
C,A,0.75521246
A,B,2.912815
C,B,1.0597102
A,C,6.143199
B,C,27.164793
B,A,26.81063
C,A,0.7950775
A,B,2.9170074
C,B,1.0340466999999998
A,C,6.1372023
B,C,27.165765
B,A,26.815593
C,A,0.8095197
A,B,2.7633749
C,B,1.031097
A,C,6.136174
B,C,27.213645
B,A,26.830184
C,A,0.7924058
A,B,2.9189583
C,B,1.0297388
A,C,6.1400276
B,C,27.212203
B,A,26.836395
C,A,0.7867955
A,B,2.768194
C,B,1.02389455
A,C,6.1289735
B,C,27.258035999999997
B,A,26.84921
C,A,0.75967535
A,B,2.9436957
C,B,0.9873293
A,C,6.1330378
B,C,27.234378000000003
B,A,26.844788
C,A,0.75319484
A,B,2.9249076
C,B,1.0014541
A,C,6.150768
B,C,27.20877
B,A,26.652288
C,A,0.58599412
A,B,2.6206661
C,B,0.8111782
A,C,5.9542805
B,C,26.924717
B,A,26.658136
C,A,0.60047507
A,B,2.6279017
C,B,0.8152194
A,C,5.9354894
B,C,26.916268
B,A,26.644397
C,A,0.66476613
A,B,2.6133247
C,B,0.8412450999999999
A,C,5.9402958
B,C,26.927304
B,A,26.658409999999996
C,A,0.6425917
A,B,2.6242603
C,B,0.8908986999999999
A,C,5.941778
B,C,26.941004
B,A,26.650608000000002
C,A,0.63253865
A,B,2.6502695
C,B,0.8376925999999999
A,C,5.969978500000001
B,C,26.972198
B,A,26.657152000000004
C,A,0.6578058000000001
A,B,2.6582912
C,B,0.8531727
A,C,5.962212999999999
B,C,27.002332
B,A,26.66316
C,A,0.7146366
A,B,2.6675843
C,B,0.8529684999999999
A,C,5.972097
B,C,26.93215
B,A,26.660216
C,A,0.73521435
A,B,2.6999327999999996
C,B,0.8883655
A,C,5.9907313
B,C,26.920128000000002
B,A,26.669988
C,A,0.73288977
A,B,2.7304452
C,B,0.9040192
A,C,5.9951067
B,C,26.90029
B,A,26.681563
C,A,0.67949444
A,B,2.7094598999999997
C,B,0.9296610999999999
A,C,5.9987379999999995
B,C,26.933363
B,A,26.68879
C,A,0.69116503
A,B,2.7282842
C,B,0.9396724
A,C,5.8906093
B,C,26.994056
B,A,26.696496999999997
C,A,0.69147125
A,B,2.726812
C,B,0.7845691999999999
A,C,5.9133895
B,C,26.990902000000002
B,A,26.734644
C,A,0.6854892
A,B,2.648167
C,B,0.8399919
A,C,5.9539054
B,C,27.012736
B,A,26.755726
C,A,0.8105077
A,B,2.8115913
C,B,0.9135127000000001
A,C,5.9840657
B,C,27.088583
B,A,26.685792
C,A,0.6927803000000001
A,B,2.715613
C,B,0.9068354999999999
A,C,6.018345
B,C,27.151203
B,A,26.732754999999997
C,A,0.75772926
A,B,2.742524
C,B,0.7853523
A,C,5.9598546
B,C,27.0117
B,A,26.74114
C,A,0.7000439
A,B,2.7014654
C,B,0.9081915
A,C,5.9848428
B,C,27.102797999999996
B,A,26.685446999999996
C,A,0.76362565
A,B,2.730978
C,B,0.9267971
A,C,6.012188
B,C,27.053009999999997
B,A,26.729
C,A,0.7041611
A,B,2.7564075
C,B,1.1245474
A,C,6.1683916
B,C,27.10194
B,A,26.740222999999997
C,A,0.6663963
A,B,2.7567275
C,B,0.9279601
A,C,5.9654362
B,C,27.226484000000003
B,A,26.703995
C,A,0.6533444
A,B,2.739273
C,B,0.8862101
A,C,6.042256200000001
B,C,27.060828
B,A,26.724043
C,A,0.67850053
A,B,2.773432
C,B,0.931637
A,C,6.0310267
B,C,27.08009
B,A,26.768434
C,A,0.6792173
A,B,2.7649887000000004
C,B,0.85050985
A,C,5.9917953
B,C,27.115940000000002
B,A,26.804370000000002
C,A,0.781443
A,B,2.74411
C,B,0.9455912
A,C,6.0237695
B,C,27.143848
B,A,26.722920000000002
C,A,0.70213526
A,B,2.7727675
C,B,0.98760575
A,C,6.035356200000001
B,C,27.078676
B,A,26.72299
C,A,0.7024914000000001
A,B,2.774921
C,B,1.0022342
A,C,6.0476556
B,C,27.083516
B,A,26.721513
C,A,0.76215044
A,B,2.7863141
C,B,0.9438939
A,C,6.0413502
B,C,27.049875
B,A,26.72594
C,A,0.7353045
A,B,2.7816895
C,B,0.9234376
A,C,6.0411774
B,C,27.07211
B,A,26.722896
C,A,0.77845827
A,B,2.784466
C,B,0.9253383
A,C,6.0468603
B,C,27.098495
B,A,26.738815999999996
C,A,0.7607571999999999
A,B,2.7817197
C,B,0.9512126000000001
A,C,6.0459808
B,C,27.069396
B,A,26.732272
C,A,0.73227063
A,B,2.8157935000000003
C,B,0.89862645
