,Point1,Point2,ActualCost
1,A,C,3.2067157
5,A,B,3.2467693
7,A,C,3.1198148
11,A,B,3.237321
13,A,C,3.193009
17,A,B,3.244782
19,A,C,3.1755004
23,A,B,3.2559354
25,A,C,3.0989993
29,A,B,3.2549314
31,A,C,3.1290215
35,A,B,3.240543
37,A,C,3.398165
41,A,B,3.2586776
43,A,C,3.152432
47,A,B,3.2548133
49,A,C,3.182341
53,A,B,3.2681424
55,A,C,3.1681307
59,A,B,3.264932
61,A,C,3.131046
65,A,B,3.2478272999999995
67,A,C,3.114374
71,A,B,3.2497365
73,A,C,3.111079
77,A,B,3.2848040000000003
79,A,C,3.1060874
83,A,B,3.2582246
85,A,C,3.1175736
89,A,B,3.2829214
91,A,C,3.1045694
95,A,B,3.250792
97,A,C,3.149797
101,A,B,3.260325
103,A,C,3.1426705000000004
107,A,B,3.259208
109,A,C,3.170246
113,A,B,3.2698963
115,A,C,3.1766504
119,A,B,3.2550216
121,A,C,3.1391334
125,A,B,3.27045
127,A,C,3.176859
131,A,B,3.266942
133,A,C,3.161105
137,A,B,3.2690897999999997
139,A,C,3.1927153
143,A,B,3.2784425
145,A,C,3.2089090000000002
149,A,B,3.284053
151,A,C,3.1939134
155,A,B,3.2853235
157,A,C,3.190792
161,A,B,3.2776
163,A,C,3.186942
167,A,B,3.2128848
169,A,C,3.0698917999999997
173,A,B,3.208281
175,A,C,3.0935753
179,A,B,3.2198865000000003
181,A,C,3.0831464
185,A,B,3.2203548
187,A,C,3.0868389
191,A,B,3.2199744
193,A,C,3.096835
197,A,B,3.2141857000000003
199,A,C,3.0976437000000003
203,A,B,3.219784
205,A,C,3.19792
209,A,B,3.215085
211,A,C,3.0780982000000003
215,A,B,3.2260742000000002
217,A,C,3.1104747
221,A,B,3.22439
223,A,C,3.0963
227,A,B,3.2313332000000003
229,A,C,3.1083297
233,A,B,3.233029
235,A,C,3.138619
239,A,B,3.226291
241,A,C,3.1168014
245,A,B,3.228544
247,A,C,3.227111
251,A,B,3.225634
253,A,C,3.2540057
257,A,B,3.2305807
259,A,C,3.160667
263,A,B,3.2232884
265,A,C,3.1966846
269,A,B,3.230888
271,A,C,3.182532
275,A,B,3.23924
277,A,C,3.1957533
281,A,B,3.2456055
283,A,C,3.2619572999999997
287,A,B,3.2409724
289,A,C,3.1736214
293,A,B,3.2426164
295,A,C,3.1524799999999997
299,A,B,3.2527577
